
---time:0---
iter: 00049, 	 precision: 0.7086,	 best_acc:0.7086
iter: 00099, 	 precision: 0.7512,	 best_acc:0.7512
iter: 00149, 	 precision: 0.7593,	 best_acc:0.7593
iter: 00199, 	 precision: 0.7654,	 best_acc:0.7654
iter: 00249, 	 precision: 0.7664,	 best_acc:0.7664
iter: 00299, 	 precision: 0.7600,	 best_acc:0.7664
iter: 00349, 	 precision: 0.7625,	 best_acc:0.7664
iter: 00399, 	 precision: 0.7632,	 best_acc:0.7664
iter: 00449, 	 precision: 0.7657,	 best_acc:0.7664
iter: 00499, 	 precision: 0.7646,	 best_acc:0.7664
iter: 00549, 	 precision: 0.7625,	 best_acc:0.7664
iter: 00599, 	 precision: 0.7618,	 best_acc:0.7664
iter: 00649, 	 precision: 0.7622,	 best_acc:0.7664
iter: 00699, 	 precision: 0.7611,	 best_acc:0.7664
iter: 00749, 	 precision: 0.7611,	 best_acc:0.7664
iter: 00799, 	 precision: 0.7625,	 best_acc:0.7664
iter: 00849, 	 precision: 0.7607,	 best_acc:0.7664
iter: 00899, 	 precision: 0.7618,	 best_acc:0.7664
iter: 00949, 	 precision: 0.7636,	 best_acc:0.7664
iter: 00999, 	 precision: 0.7625,	 best_acc:0.7664

---time:1---
iter: 00049, 	 precision: 0.7029,	 best_acc:0.7029
iter: 00099, 	 precision: 0.7519,	 best_acc:0.7519
iter: 00149, 	 precision: 0.7661,	 best_acc:0.7661
iter: 00199, 	 precision: 0.7671,	 best_acc:0.7671
iter: 00249, 	 precision: 0.7671,	 best_acc:0.7671
iter: 00299, 	 precision: 0.7664,	 best_acc:0.7671
iter: 00349, 	 precision: 0.7661,	 best_acc:0.7671
iter: 00399, 	 precision: 0.7657,	 best_acc:0.7671
iter: 00449, 	 precision: 0.7646,	 best_acc:0.7671
iter: 00499, 	 precision: 0.7632,	 best_acc:0.7671
iter: 00549, 	 precision: 0.7657,	 best_acc:0.7671
iter: 00599, 	 precision: 0.7650,	 best_acc:0.7671
iter: 00649, 	 precision: 0.7654,	 best_acc:0.7671
iter: 00699, 	 precision: 0.7661,	 best_acc:0.7671
iter: 00749, 	 precision: 0.7668,	 best_acc:0.7671
iter: 00799, 	 precision: 0.7650,	 best_acc:0.7671
iter: 00849, 	 precision: 0.7646,	 best_acc:0.7671
iter: 00899, 	 precision: 0.7643,	 best_acc:0.7671
iter: 00949, 	 precision: 0.7646,	 best_acc:0.7671
iter: 00999, 	 precision: 0.7639,	 best_acc:0.7671

---time:2---
iter: 00049, 	 precision: 0.7039,	 best_acc:0.7039
iter: 00099, 	 precision: 0.7455,	 best_acc:0.7455
iter: 00149, 	 precision: 0.7611,	 best_acc:0.7611
iter: 00199, 	 precision: 0.7636,	 best_acc:0.7636
iter: 00249, 	 precision: 0.7693,	 best_acc:0.7693
iter: 00299, 	 precision: 0.7696,	 best_acc:0.7696
iter: 00349, 	 precision: 0.7728,	 best_acc:0.7728
iter: 00399, 	 precision: 0.7717,	 best_acc:0.7728
iter: 00449, 	 precision: 0.7703,	 best_acc:0.7728
iter: 00499, 	 precision: 0.7717,	 best_acc:0.7728
