
---time:0---
iter: 00049, 	 precision: 0.9774,	 best_acc:0.9774
iter: 00099, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00149, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00199, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00249, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00299, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00349, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00399, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00449, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00499, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00549, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00599, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00649, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00699, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00749, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00799, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00849, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00899, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00949, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00999, 	 precision: 0.9925,	 best_acc:0.9925

---time:1---
iter: 00049, 	 precision: 0.9711,	 best_acc:0.9711
iter: 00099, 	 precision: 0.9849,	 best_acc:0.9849
iter: 00149, 	 precision: 0.9836,	 best_acc:0.9849
iter: 00199, 	 precision: 0.9887,	 best_acc:0.9887
iter: 00249, 	 precision: 0.9899,	 best_acc:0.9899
iter: 00299, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00349, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00399, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00449, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00499, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00549, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00599, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00649, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00699, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00749, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00799, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00849, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00899, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00949, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00999, 	 precision: 0.9912,	 best_acc:0.9912

---time:2---
iter: 00049, 	 precision: 0.9761,	 best_acc:0.9761
iter: 00099, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00149, 	 precision: 0.9887,	 best_acc:0.9912
iter: 00199, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00249, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00299, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00349, 	 precision: 0.9912,	 best_acc:0.9925
iter: 00399, 	 precision: 0.9912,	 best_acc:0.9925
iter: 00449, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00499, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00549, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00599, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00649, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00699, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00749, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00799, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00849, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00899, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00949, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00999, 	 precision: 0.9925,	 best_acc:0.9925

---time:3---
iter: 00049, 	 precision: 0.9849,	 best_acc:0.9849
iter: 00099, 	 precision: 0.9912,	 best_acc:0.9912
iter: 00149, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00199, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00249, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00299, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00349, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00399, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00449, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00499, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00549, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00599, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00649, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00699, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00749, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00799, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00849, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00899, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00949, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00999, 	 precision: 0.9925,	 best_acc:0.9925

---time:4---
iter: 00049, 	 precision: 0.9761,	 best_acc:0.9761
iter: 00099, 	 precision: 0.9887,	 best_acc:0.9887
iter: 00149, 	 precision: 0.9899,	 best_acc:0.9899
iter: 00199, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00249, 	 precision: 0.9925,	 best_acc:0.9925
iter: 00299, 	 precision: 0.9912,	 best_acc:0.9925
iter: 00349, 	 precision: 0.9912,	 best_acc:0.9925
iter: 00399, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00449, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00499, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00549, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00599, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00649, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00699, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00749, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00799, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00849, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00899, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00949, 	 precision: 0.9899,	 best_acc:0.9925
iter: 00999, 	 precision: 0.9899,	 best_acc:0.9925

best_acc:0.9925
