
---time:0---
iter: 00049, 	 precision: 0.6873,	 best_acc:0.6873
iter: 00099, 	 precision: 0.7412,	 best_acc:0.7412
iter: 00149, 	 precision: 0.7629,	 best_acc:0.7629
iter: 00199, 	 precision: 0.7604,	 best_acc:0.7629
iter: 00249, 	 precision: 0.7593,	 best_acc:0.7629
iter: 00299, 	 precision: 0.7668,	 best_acc:0.7668
iter: 00349, 	 precision: 0.7661,	 best_acc:0.7668
iter: 00399, 	 precision: 0.7646,	 best_acc:0.7668
iter: 00449, 	 precision: 0.7607,	 best_acc:0.7668
iter: 00499, 	 precision: 0.7622,	 best_acc:0.7668
iter: 00549, 	 precision: 0.7607,	 best_acc:0.7668
iter: 00599, 	 precision: 0.7597,	 best_acc:0.7668
iter: 00649, 	 precision: 0.7590,	 best_acc:0.7668
iter: 00699, 	 precision: 0.7561,	 best_acc:0.7668
iter: 00749, 	 precision: 0.7565,	 best_acc:0.7668
iter: 00799, 	 precision: 0.7575,	 best_acc:0.7668
iter: 00849, 	 precision: 0.7572,	 best_acc:0.7668
iter: 00899, 	 precision: 0.7547,	 best_acc:0.7668
iter: 00949, 	 precision: 0.7583,	 best_acc:0.7668
iter: 00999, 	 precision: 0.7554,	 best_acc:0.7668

---time:1---
iter: 00049, 	 precision: 0.6890,	 best_acc:0.6890
iter: 00099, 	 precision: 0.7352,	 best_acc:0.7352
iter: 00149, 	 precision: 0.7519,	 best_acc:0.7519
iter: 00199, 	 precision: 0.7504,	 best_acc:0.7519
iter: 00249, 	 precision: 0.7526,	 best_acc:0.7526
iter: 00299, 	 precision: 0.7551,	 best_acc:0.7551
iter: 00349, 	 precision: 0.7540,	 best_acc:0.7551
iter: 00399, 	 precision: 0.7565,	 best_acc:0.7565
iter: 00449, 	 precision: 0.7558,	 best_acc:0.7565
iter: 00499, 	 precision: 0.7547,	 best_acc:0.7565
iter: 00549, 	 precision: 0.7568,	 best_acc:0.7568
iter: 00599, 	 precision: 0.7586,	 best_acc:0.7586
iter: 00649, 	 precision: 0.7572,	 best_acc:0.7586
iter: 00699, 	 precision: 0.7611,	 best_acc:0.7611
iter: 00749, 	 precision: 0.7604,	 best_acc:0.7611
iter: 00799, 	 precision: 0.7600,	 best_acc:0.7611
iter: 00849, 	 precision: 0.7600,	 best_acc:0.7611
iter: 00899, 	 precision: 0.7590,	 best_acc:0.7611
iter: 00949, 	 precision: 0.7572,	 best_acc:0.7611
iter: 00999, 	 precision: 0.7568,	 best_acc:0.7611

---time:2---
iter: 00049, 	 precision: 0.6915,	 best_acc:0.6915
iter: 00099, 	 precision: 0.7259,	 best_acc:0.7259
iter: 00149, 	 precision: 0.7504,	 best_acc:0.7504
iter: 00199, 	 precision: 0.7554,	 best_acc:0.7554
iter: 00249, 	 precision: 0.7607,	 best_acc:0.7607
iter: 00299, 	 precision: 0.7604,	 best_acc:0.7607
iter: 00349, 	 precision: 0.7604,	 best_acc:0.7607
iter: 00399, 	 precision: 0.7629,	 best_acc:0.7629
iter: 00449, 	 precision: 0.7604,	 best_acc:0.7629
iter: 00499, 	 precision: 0.7636,	 best_acc:0.7636
iter: 00549, 	 precision: 0.7622,	 best_acc:0.7636
iter: 00599, 	 precision: 0.7611,	 best_acc:0.7636
iter: 00649, 	 precision: 0.7593,	 best_acc:0.7636
iter: 00699, 	 precision: 0.7600,	 best_acc:0.7636
iter: 00749, 	 precision: 0.7593,	 best_acc:0.7636
iter: 00799, 	 precision: 0.7583,	 best_acc:0.7636
iter: 00849, 	 precision: 0.7611,	 best_acc:0.7636
iter: 00899, 	 precision: 0.7590,	 best_acc:0.7636
iter: 00949, 	 precision: 0.7593,	 best_acc:0.7636
iter: 00999, 	 precision: 0.7586,	 best_acc:0.7636

---time:3---
iter: 00049, 	 precision: 0.6897,	 best_acc:0.6897
iter: 00099, 	 precision: 0.7306,	 best_acc:0.7306
iter: 00149, 	 precision: 0.7490,	 best_acc:0.7490
iter: 00199, 	 precision: 0.7515,	 best_acc:0.7515
iter: 00249, 	 precision: 0.7543,	 best_acc:0.7543
iter: 00299, 	 precision: 0.7565,	 best_acc:0.7565
iter: 00349, 	 precision: 0.7554,	 best_acc:0.7565
iter: 00399, 	 precision: 0.7572,	 best_acc:0.7572
iter: 00449, 	 precision: 0.7547,	 best_acc:0.7572
iter: 00499, 	 precision: 0.7547,	 best_acc:0.7572
iter: 00549, 	 precision: 0.7554,	 best_acc:0.7572
iter: 00599, 	 precision: 0.7558,	 best_acc:0.7572
iter: 00649, 	 precision: 0.7529,	 best_acc:0.7572
iter: 00699, 	 precision: 0.7536,	 best_acc:0.7572
iter: 00749, 	 precision: 0.7547,	 best_acc:0.7572
iter: 00799, 	 precision: 0.7558,	 best_acc:0.7572
iter: 00849, 	 precision: 0.7533,	 best_acc:0.7572
iter: 00899, 	 precision: 0.7536,	 best_acc:0.7572
iter: 00949, 	 precision: 0.7526,	 best_acc:0.7572
iter: 00999, 	 precision: 0.7526,	 best_acc:0.7572

---time:4---
iter: 00049, 	 precision: 0.6773,	 best_acc:0.6773
iter: 00099, 	 precision: 0.7313,	 best_acc:0.7313
iter: 00149, 	 precision: 0.7483,	 best_acc:0.7483
iter: 00199, 	 precision: 0.7512,	 best_acc:0.7512
iter: 00249, 	 precision: 0.7554,	 best_acc:0.7554
iter: 00299, 	 precision: 0.7561,	 best_acc:0.7561
iter: 00349, 	 precision: 0.7604,	 best_acc:0.7604
iter: 00399, 	 precision: 0.7575,	 best_acc:0.7604
iter: 00449, 	 precision: 0.7590,	 best_acc:0.7604
iter: 00499, 	 precision: 0.7586,	 best_acc:0.7604
iter: 00549, 	 precision: 0.7597,	 best_acc:0.7604
iter: 00599, 	 precision: 0.7554,	 best_acc:0.7604
iter: 00649, 	 precision: 0.7572,	 best_acc:0.7604
iter: 00699, 	 precision: 0.7583,	 best_acc:0.7604
iter: 00749, 	 precision: 0.7575,	 best_acc:0.7604
iter: 00799, 	 precision: 0.7593,	 best_acc:0.7604
iter: 00849, 	 precision: 0.7583,	 best_acc:0.7604
iter: 00899, 	 precision: 0.7583,	 best_acc:0.7604
iter: 00949, 	 precision: 0.7579,	 best_acc:0.7604
iter: 00999, 	 precision: 0.7597,	 best_acc:0.7604

best_acc:0.7668
